user_id,total_points_earned,total_points_spent,current_balance,first_activity,last_activity
100061,32410,1500,30910,2026-01-08 14:59:54.000 -0500,2026-05-06 15:31:57.000 -0400
100034,8240,500,7740,2025-12-15 13:25:12.000 -0500,2026-01-07 15:46:34.000 -0500
100405,0,0,0,,
100311,2000,0,2000,2026-02-12 09:01:27.000 -0500,2026-02-12 09:01:27.000 -0500
100084,980,0,980,2025-12-08 22:58:08.000 -0500,2025-12-08 22:58:08.000 -0500
100054,57540,0,57540,2026-03-04 23:31:00.000 -0500,2026-03-04 23:52:33.000 -0500
100359,99210,250,98960,2026-03-18 23:36:25.000 -0400,2026-04-30 01:34:08.000 -0400
100046,58520,1500,57020,2026-01-07 17:35:57.000 -0500,2026-03-20 15:20:57.000 -0400
100402,48480,1800,46680,2026-04-06 13:46:12.000 -0400,2026-04-06 13:59:01.000 -0400
100050,0,0,0,,
100385,125215,3500,121715,2026-03-28 11:10:26.000 -0400,2026-05-06 17:01:22.000 -0400
100420,0,0,0,,
100414,0,0,0,,
100354,0,0,0,,
100095,30780,1770,29010,2026-01-26 17:41:28.000 -0500,2026-04-29 12:53:59.000 -0400
100520,0,0,0,,
100478,0,0,0,,
100343,81125,3450,77675,2026-02-27 11:44:33.000 -0500,2026-05-06 09:11:12.000 -0400
100521,0,0,0,,
100154,48040,1750,46290,2026-03-04 16:46:56.000 -0500,2026-04-28 15:21:41.000 -0400
100096,0,0,0,,
100339,0,0,0,,
100416,0,0,0,,
100164,5230,250,4980,2026-01-05 19:33:44.000 -0500,2026-01-06 19:52:03.000 -0500
100499,0,0,0,,
100464,0,0,0,,
100296,117760,4900,112860,2026-02-09 22:01:47.000 -0500,2026-04-20 13:55:54.000 -0400
100240,0,0,0,,
100488,14000,0,14000,2026-05-02 18:54:59.000 -0400,2026-05-02 18:54:59.000 -0400
100125,0,0,0,,
100236,2000,0,2000,2026-01-24 15:29:26.000 -0500,2026-01-24 15:29:26.000 -0500
100199,6000,250,5750,2026-01-14 22:16:16.000 -0500,2026-02-05 12:33:18.000 -0500
100341,132235,5000,127235,2026-03-20 13:38:03.000 -0400,2026-05-11 23:27:09.000 -0400
100308,0,0,0,,
100263,40000,0,40000,2026-03-20 12:37:18.000 -0400,2026-03-20 12:37:18.000 -0400
100039,12000,1250,10750,2026-01-08 15:06:28.000 -0500,2026-03-27 11:13:59.000 -0400
100060,6480,750,5730,2025-12-13 09:35:03.000 -0500,2025-12-13 09:41:59.000 -0500
100136,0,0,0,,
100370,0,0,0,,
100331,70970,4750,66220,2026-02-21 18:42:36.000 -0500,2026-04-09 17:21:02.000 -0400
100500,0,0,0,,
100237,6000,0,6000,2026-01-23 19:09:50.000 -0500,2026-04-20 13:26:50.000 -0400
100531,0,0,0,,
100180,5230,500,4730,2026-01-08 02:46:14.000 -0500,2026-01-08 03:03:37.000 -0500
100233,0,0,0,,
100009,107950,500,107450,2025-11-19 14:27:36.000 -0500,2026-04-21 10:46:32.000 -0400
100273,0,0,0,,
100003,4240,270,3970,2025-11-19 06:37:31.000 -0500,2025-11-30 08:18:03.000 -0500
100532,0,0,0,,
100266,61520,2700,58820,2026-01-30 08:29:41.000 -0500,2026-02-25 15:37:59.000 -0500
100446,0,0,0,,
100017,48895,1020,47875,2025-11-22 10:51:08.000 -0500,2026-03-31 21:26:22.000 -0400
100412,0,0,0,,
100379,0,0,0,,
100526,25300,0,25300,2026-05-07 12:53:08.000 -0400,2026-05-07 12:58:55.000 -0400
100424,0,0,0,,
100188,0,0,0,,
100534,42220,0,42220,2026-05-09 13:39:07.000 -0400,2026-05-10 13:56:37.000 -0400
100485,70780,0,70780,2026-04-27 17:34:53.000 -0400,2026-04-30 16:14:00.000 -0400
100432,0,0,0,,
100259,0,0,0,,
100512,67030,4650,62380,2026-05-03 15:00:16.000 -0400,2026-05-04 12:53:38.000 -0400
100528,0,0,0,,
100364,36800,0,36800,2026-03-20 13:28:31.000 -0400,2026-03-20 14:09:05.000 -0400
100139,6500,0,6500,2026-04-29 13:51:28.000 -0400,2026-04-29 13:53:42.000 -0400
100081,6000,750,5250,2025-12-10 13:14:52.000 -0500,2026-01-07 13:06:23.000 -0500
100277,122870,1300,121570,2026-02-17 10:26:18.000 -0500,2026-05-07 02:07:31.000 -0400
100400,0,0,0,,
100517,0,0,0,,
100422,0,0,0,,
100423,0,0,0,,
100408,0,0,0,,
100389,0,0,0,,
100315,0,0,0,,
100449,0,0,0,,
100141,49455,500,48955,2026-02-11 08:03:47.000 -0500,2026-02-20 07:49:48.000 -0500
100539,0,0,0,,
100410,0,0,0,,
100126,8240,750,7490,2025-12-20 12:29:41.000 -0500,2025-12-20 13:23:55.000 -0500
100376,49530,0,49530,2026-03-26 13:09:23.000 -0400,2026-05-07 13:01:25.000 -0400
100162,0,0,0,,
100041,40500,0,40500,2026-03-02 14:12:18.000 -0500,2026-03-02 17:14:49.000 -0500
100267,20660,400,20260,2026-01-31 17:36:51.000 -0500,2026-04-27 11:45:51.000 -0400
100148,0,0,0,,
100477,0,0,0,,
100378,47520,1050,46470,2026-03-29 14:56:11.000 -0400,2026-04-07 21:52:54.000 -0400
100183,37250,0,37250,2026-01-19 14:39:15.000 -0500,2026-02-20 11:35:41.000 -0500
100256,6050,0,6050,2026-01-27 14:49:55.000 -0500,2026-01-28 18:21:18.000 -0500
100116,103280,4520,98760,2025-12-14 17:14:24.000 -0500,2026-04-03 17:28:14.000 -0400
100122,0,0,0,,
100490,0,0,0,,
100246,0,0,0,,
100035,0,0,0,,
100493,0,0,0,,
100156,58870,2750,56120,2026-02-11 07:42:42.000 -0500,2026-04-28 01:49:10.000 -0400
100076,8240,0,8240,2025-12-30 16:19:15.000 -0500,2025-12-30 17:00:38.000 -0500
100475,0,0,0,,
100027,4000,250,3750,2025-11-30 09:29:48.000 -0500,2025-11-30 09:38:02.000 -0500
100276,0,0,0,,
100112,123165,1210,121955,2026-01-07 10:25:07.000 -0500,2026-05-07 09:22:29.000 -0400
100073,2000,0,2000,2025-12-10 02:08:12.000 -0500,2025-12-10 02:08:12.000 -0500
100265,46080,500,45580,2026-04-03 13:27:13.000 -0400,2026-04-03 13:39:53.000 -0400
100184,250,0,250,2026-01-09 18:31:54.000 -0500,2026-01-09 18:31:54.000 -0500
100525,0,0,0,,
